*header,hse_type,region,upgrade,eligible,total
*data,1-SD,1-AT,SDHW,493,1271
*data,1-SD,1-AT,WAM,1130,1271
*data,1-SD,1-AT,WTM3310,1271,1271
*data,1-SD,1-AT,WTM2010,1170,1271
*data,1-SD,1-AT,WTM3200,1271,1271
*data,1-SD,1-AT,WTM2100,1170,1271
*data,1-SD,1-AT,WTM2110,1170,1271
*data,1-SD,1-AT,WTM3210,1271,1271
*data,1-SD,1-AT,WTM3000,1266,1271
*data,1-SD,1-AT,FVB,4,1271
*data,1-SD,1-AT,FOH,4,1271
*data,1-SD,1-AT,PCM,1211,1271
*data,1-SD,1-AT,CVB,4,1271
*data,1-SD,1-AT,PV,595,1271
*data,1-SD,1-AT,BIPVT,493,1271
*data,1-SD,2-QC,SDHW,939,2882
*data,1-SD,2-QC,WAM,2493,2882
*data,1-SD,2-QC,WTM3310,2881,2882
*data,1-SD,2-QC,WTM2010,2424,2882
*data,1-SD,2-QC,WTM3200,2863,2882
*data,1-SD,2-QC,WTM2100,2425,2882
*data,1-SD,2-QC,WTM2110,2425,2882
*data,1-SD,2-QC,WTM3210,2881,2882
*data,1-SD,2-QC,WTM3000,2856,2882
*data,1-SD,2-QC,FVB,363,2882
*data,1-SD,2-QC,FOH,345,2882
*data,1-SD,2-QC,PCM,2659,2882
*data,1-SD,2-QC,CVB,377,2882
*data,1-SD,2-QC,PV,1090,2882
*data,1-SD,2-QC,BIPVT,939,2882
*data,1-SD,3-OT,SDHW,1448,5404
*data,1-SD,3-OT,WAM,4802,5404
*data,1-SD,3-OT,WTM3310,5404,5404
*data,1-SD,3-OT,WTM2010,4727,5404
*data,1-SD,3-OT,WTM3200,5393,5404
*data,1-SD,3-OT,WTM2100,4728,5404
*data,1-SD,3-OT,WTM2110,4728,5404
*data,1-SD,3-OT,WTM3210,5404,5404
*data,1-SD,3-OT,WTM3000,5384,5404
*data,1-SD,3-OT,FVB,2725,5404
*data,1-SD,3-OT,FOH,2629,5404
*data,1-SD,3-OT,PCM,5115,5404
*data,1-SD,3-OT,CVB,2740,5404
*data,1-SD,3-OT,PV,1891,5404
*data,1-SD,3-OT,BIPVT,1448,5404
*data,1-SD,4-PR,SDHW,936,2703
*data,1-SD,4-PR,WAM,2485,2703
*data,1-SD,4-PR,WTM3310,2703,2703
*data,1-SD,4-PR,WTM2010,1990,2703
*data,1-SD,4-PR,WTM3200,2604,2703
*data,1-SD,4-PR,WTM2100,1990,2703
*data,1-SD,4-PR,WTM2110,1990,2703
*data,1-SD,4-PR,WTM3210,2701,2703
*data,1-SD,4-PR,WTM3000,2599,2703
*data,1-SD,4-PR,FVB,234,2703
*data,1-SD,4-PR,FOH,227,2703
*data,1-SD,4-PR,PCM,2577,2703
*data,1-SD,4-PR,CVB,235,2703
*data,1-SD,4-PR,PV,1097,2703
*data,1-SD,4-PR,BIPVT,936,2703
*data,1-SD,5-BC,SDHW,327,1770
*data,1-SD,5-BC,WAM,1327,1770
*data,1-SD,5-BC,WTM3310,1770,1770
*data,1-SD,5-BC,WTM2010,1723,1770
*data,1-SD,5-BC,WTM3200,1769,1770
*data,1-SD,5-BC,WTM2100,1723,1770
*data,1-SD,5-BC,WTM2110,1723,1770
*data,1-SD,5-BC,WTM3210,1770,1770
*data,1-SD,5-BC,WTM3000,1769,1770
*data,1-SD,5-BC,FVB,124,1770
*data,1-SD,5-BC,FOH,118,1770
*data,1-SD,5-BC,PCM,1608,1770
*data,1-SD,5-BC,CVB,126,1770
*data,1-SD,5-BC,PV,587,1770
*data,1-SD,5-BC,BIPVT,327,1770
*data,2-DR,1-AT,SDHW,35,137
*data,2-DR,1-AT,WAM,112,137
*data,2-DR,1-AT,WTM3310,137,137
*data,2-DR,1-AT,WTM2010,129,137
*data,2-DR,1-AT,WTM3200,137,137
*data,2-DR,1-AT,WTM2100,129,137
*data,2-DR,1-AT,WTM2110,129,137
*data,2-DR,1-AT,WTM3210,137,137
*data,2-DR,1-AT,WTM3000,135,137
*data,2-DR,1-AT,FVB,0,137
*data,2-DR,1-AT,FOH,1,137
*data,2-DR,1-AT,PCM,117,137
*data,2-DR,1-AT,CVB,1,137
*data,2-DR,1-AT,PV,42,137
*data,2-DR,1-AT,BIPVT,35,137
*data,2-DR,2-QC,SDHW,150,798
*data,2-DR,2-QC,WAM,628,798
*data,2-DR,2-QC,WTM3310,798,798
*data,2-DR,2-QC,WTM2010,698,798
*data,2-DR,2-QC,WTM3200,795,798
*data,2-DR,2-QC,WTM2100,698,798
*data,2-DR,2-QC,WTM2110,698,798
*data,2-DR,2-QC,WTM3210,798,798
*data,2-DR,2-QC,WTM3000,793,798
*data,2-DR,2-QC,FVB,129,798
*data,2-DR,2-QC,FOH,110,798
*data,2-DR,2-QC,PCM,640,798
*data,2-DR,2-QC,CVB,132,798
*data,2-DR,2-QC,PV,185,798
*data,2-DR,2-QC,BIPVT,150,798
*data,2-DR,3-OT,SDHW,301,1231
*data,2-DR,3-OT,WAM,893,1231
*data,2-DR,3-OT,WTM3310,1231,1231
*data,2-DR,3-OT,WTM2010,1105,1231
*data,2-DR,3-OT,WTM3200,1231,1231
*data,2-DR,3-OT,WTM2100,1105,1231
*data,2-DR,3-OT,WTM2110,1107,1231
*data,2-DR,3-OT,WTM3210,1231,1231
*data,2-DR,3-OT,WTM3000,1229,1231
*data,2-DR,3-OT,FVB,535,1231
*data,2-DR,3-OT,FOH,431,1231
*data,2-DR,3-OT,PCM,938,1231
*data,2-DR,3-OT,CVB,553,1231
*data,2-DR,3-OT,PV,386,1231
*data,2-DR,3-OT,BIPVT,301,1231
*data,2-DR,4-PR,SDHW,148,441
*data,2-DR,4-PR,WAM,308,441
*data,2-DR,4-PR,WTM3310,441,441
*data,2-DR,4-PR,WTM2010,365,441
*data,2-DR,4-PR,WTM3200,431,441
*data,2-DR,4-PR,WTM2100,365,441
*data,2-DR,4-PR,WTM2110,365,441
*data,2-DR,4-PR,WTM3210,441,441
*data,2-DR,4-PR,WTM3000,431,441
*data,2-DR,4-PR,FVB,21,441
